singular,plural,merged
mott insulator,mott insulators,mott insulator(s)
road network,road networks,road network(s)
radial distribution,radial distributions,radial distribution(s)
classical counterpart,classical counterparts,classical counterpart(s)
path integral,path integrals,path integral(s)
variational formulation,variational formulations,variational formulation(s)
numerical evaluation,numerical evaluations,numerical evaluation(s)
spin period,spin periods,spin period(s)
third party,third parties,third party(ies)
weighted average,weighted averages,weighted average(s)
collective behavior,collective behaviors,collective behavior(s)
magnetic moment,magnetic moments,magnetic moment(s)
dnn model,dnn models,dnn model(s)
stationary state,stationary states,stationary state(s)
convex optimization,convex optimizations,convex optimization(s)
inference speed,inference speeds,inference speed(s)
stress tensor,stress tensors,stress tensor(s)
distribution shift,distribution shifts,distribution shift(s)
open subset,open subsets,open subset(s)
relative position,relative positions,relative position(s)
optimisation problem,optimisation problems,optimisation problem(s)
received signal,received signals,received signal(s)
pp collision,pp collisions,pp collision(s)
experimental signature,experimental signatures,experimental signature(s)
wearable device,wearable devices,wearable device(s)
automated vehicle,automated vehicles,automated vehicle(s)
experimental investigation,experimental investigations,experimental investigation(s)
remarkable success,remarkable successes,remarkable success(es)
optical cavity,optical cavities,optical cavity(ies)
hamilton jacobi equation,hamilton jacobi equations,hamilton jacobi equation(s)
quantitative estimate,quantitative estimates,quantitative estimate(s)
measurement outcome,measurement outcomes,measurement outcome(s)
active galactic nucleus,active galactic nuclei,active galactic nucleus (nuclei)
penalty function,penalty functions,penalty function(s)
theoretical background,theoretical backgrounds,theoretical background(s)
degree sequence,degree sequences,degree sequence(s)
production mechanism,production mechanisms,production mechanism(s)
machine learning paradigm,machine learning paradigms,machine learning paradigm(s)
domain gap,domain gaps,domain gap(s)
systematic error,systematic errors,systematic error(s)
3d point cloud,3d point clouds,3d point cloud(s)
periodic boundary condition,periodic boundary conditions,periodic boundary condition(s)
circuit depth,circuit depths,circuit depth(s)
scientific discovery,scientific discoveries,scientific discovery(ies)
quasi particle,quasi particles,quasi particle(s)
superconducting phase,superconducting phases,superconducting phase(s)
curvature flow,curvature flows,curvature flow(s)
detection threshold,detection thresholds,detection threshold(s)
scattering rate,scattering rates,scattering rate(s)
human body,human bodies,human body(ies)
healthcare system,healthcare systems,healthcare system(s)
spectral sequence,spectral sequences,spectral sequence(s)
energy resolution,energy resolutions,energy resolution(s)
decision tree,decision trees,decision tree(s)
singular value,singular values,singular value(s)
topological superconductor,topological superconductors,topological superconductor(s)
solar flare,solar flares,solar flare(s)
ultracold atom,ultracold atoms,ultracold atom(s)
generalization error,generalization errors,generalization error(s)
free path,free paths,free path(s)
nuclear spin,nuclear spins,nuclear spin(s)
sound speed,sound speeds,sound speed(s)
volume fraction,volume fractions,volume fraction(s)
vector boson,vector bosons,vector boson(s)
conformal field theory,conformal field theories,conformal field theory(ies)
lower limit,lower limits,lower limit(s)
topological charge,topological charges,topological charge(s)
external force,external forces,external force(s)
planetary atmosphere,planetary atmospheres,planetary atmosphere(s)
molecular cloud,molecular clouds,molecular cloud(s)
nuclear reaction,nuclear reactions,nuclear reaction(s)
transmit power,transmit powers,transmit power(s)
training procedure,training procedures,training procedure(s)
boundary layer,boundary layers,boundary layer(s)
proper motion,proper motions,proper motion(s)
three stage,three stages,three stage(s)
inner product,inner products,inner product(s)
undirected graph,undirected graphs,undirected graph(s)
comprehensive evaluation,comprehensive evaluations,comprehensive evaluation(s)
lie group,lie groups,lie group(s)
modular form,modular forms,modular form(s)
computer vision transformer,computer vision transformers,computer vision transformer(s)
spiking neuron,spiking neurons,spiking neuron(s)
empirical success,empirical successes,empirical success(es)
mirror symmetry,mirror symmetries,mirror symmetry(ies)
business process,business processes,business process(es)
3d reconstruction,3d reconstructions,3d reconstruction(s)
analytical framework,analytical frameworks,analytical framework(s)
perturbative expansion,perturbative expansions,perturbative expansion(s)
social media platform,social media platforms,social media platform(s)
policy gradient,policy gradients,policy gradient(s)
kalman filter,kalman filters,kalman filter(s)
false positive,false positives,false positive(s)
neutral current,neutral currents,neutral current(s)
temporal resolution,temporal resolutions,temporal resolution(s)
atomistic simulation,atomistic simulations,atomistic simulation(s)
imaginary part,imaginary parts,imaginary part(s)
potential barrier,potential barriers,potential barrier(s)
matrix multiplication,matrix multiplications,matrix multiplication(s)
complete intersection,complete intersections,complete intersection(s)
refractive index,refractive indices,refractive index (indices)
state preparation,state preparations,state preparation(s)
clinical trial,clinical trials,clinical trial(s)
gas flow,gas flows,gas flow(s)
double layer,double layers,double layer(s)
spin orbit coupling,spin orbit couplings,spin orbit coupling(s)
angular distribution,angular distributions,angular distribution(s)
convolution kernel,convolution kernels,convolution kernel(s)
graph convolution,graph convolutions,graph convolution(s)
chern number,chern numbers,chern number(s)
brillouin zone,brillouin zones,brillouin zone(s)
parameter regime,parameter regimes,parameter regime(s)
density wave,density waves,density wave(s)
camera pose,camera poses,camera pose(s)
second moment,second moments,second moment(s)
formation rate,formation rates,formation rate(s)
